date,gics_sector,avg_daily_return,cumulative_return
2025-01-06,Utilities,-0.012539199609408073,-0.012180105302177729
2025-01-07,,-0.03158231952205464,-0.0018426824029990421
2025-01-07,Communication Services,-0.010177011959151581,-0.010146180901790331
2025-01-07,Consumer Discretionary,-0.015092414706799152,-0.028178097326219738
2025-01-07,Consumer Staples,-0.0089701679650629612,-0.029714671866255333
2025-01-07,Energy,0.0047273333332877084,0.00560339446430065
2025-01-07,Financials,-0.0085410825755558653,-0.018395020670409965
2025-01-07,Health Care,0.0035783556602320063,0.0081576341198609289
2025-01-07,Industrials,-0.0035524110037130066,-0.012149641249791553
2025-01-07,Information Technology,-0.015309535362787558,-0.010364437304550453
2025-01-07,Materials,-0.0030450849609797302,-0.017056886656499841
2025-01-07,Real Estate,-0.013969786712841084,-0.02979133580743807
2025-01-07,Utilities,-0.0026352793712781149,-0.014815384673455844
2025-01-08,,-0.0026335493590547011,-0.0044762317620537437
2025-01-08,Communication Services,-0.0016082400584001406,-0.01175442096019047
2025-01-08,Consumer Discretionary,0.0051430270474862975,-0.02303507027873344
2025-01-08,Consumer Staples,0.00067860327371296479,-0.029036068592542368
2025-01-08,Energy,0.010512747928772246,0.016116142393072897
2025-01-08,Financials,0.004531144368393295,-0.013863876302016671
2025-01-08,Health Care,0.0022725335378380998,0.01043016765769903
2025-01-08,Industrials,0.0073849423134361254,-0.0047646989363554267
2025-01-08,Information Technology,0.0010317341396127882,-0.0093327031649376654
2025-01-08,Materials,0.0035090181131227543,-0.013547868543377087
2025-01-08,Real Estate,0.0043108802168659874,-0.02548045559057208
2025-01-08,Utilities,0.0043013538602728971,-0.010514030813182947
2025-01-10,,0.00017370177355186043,-0.004302529988501883
2025-01-10,Communication Services,-0.011902561339432976,-0.023656982299623448
2025-01-10,Consumer Discretionary,-0.0042890107660898437,-0.027324081044823284
2025-01-10,Consumer Staples,-0.011574752949492267,-0.040610821542034631
2025-01-10,Energy,-0.011381906132180392,0.004734236260892504
2025-01-10,Financials,-0.015582273913173034,-0.029446150215189707
2025-01-10,Health Care,-0.0022917559012510338,0.0081384117564479944
2025-01-10,Industrials,-0.0043549185078763366,-0.0091196174442317642
2025-01-10,Information Technology,-0.0078724321588457338,-0.0172051353237834
2025-01-10,Materials,-0.0026414875171066818,-0.016189356060483769
2025-01-10,Real Estate,-0.0055760745635600279,-0.031056530154132109
2025-01-10,Utilities,-0.010669744493054271,-0.021183775306237218
2025-01-13,,0.020636335369822709,0.016333805381320825
2025-01-13,Communication Services,0.0099098933349840712,-0.013747088964639375
2025-01-13,Consumer Discretionary,0.0091035322608833732,-0.018220548783939913
2025-01-13,Consumer Staples,0.0050130833218962794,-0.035597738220138356
2025-01-13,Energy,0.017514298804277014,0.022248535065169519
2025-01-13,Financials,0.013504582620530482,-0.015941567594659225
2025-01-13,Health Care,0.015264324637542319,0.023402736393990313
2025-01-13,Industrials,0.018744932882778041,0.009625315438546278
2025-01-13,Information Technology,0.0085460993004366822,-0.0086590360233467171
2025-01-13,Materials,0.026714497392403422,0.010525141331919653
2025-01-13,Real Estate,0.015931565111883463,-0.015124965042248646
2025-01-13,Utilities,-0.0080869327259177476,-0.029270708032154966
2025-01-14,,0.0048681397240602671,0.021201945105381093
2025-01-14,Communication Services,-0.001923056705805659,-0.015670145670445033
2025-01-14,Consumer Discretionary,-0.0038381010057045883,-0.0220586497896445
2025-01-14,Consumer Staples,-0.00095958667986344821,-0.036557324900001804
2025-01-14,Energy,0.01475013752545749,0.036998672590627009
2025-01-14,Financials,0.0089643228703988279,-0.0069772447242603952
2025-01-14,Health Care,-0.0048338270784190141,0.0185689093155713
2025-01-14,Industrials,0.0069336056336345387,0.016558921072180818
2025-01-14,Information Technology,0.0031374078607236885,-0.0055216281626230285
2025-01-14,Materials,0.0061490278373273156,0.01667416916924697
2025-01-14,Real Estate,0.0046077324389035583,-0.010517232603345089
2025-01-14,Utilities,0.0088024056714604074,-0.020468302360694558
2025-01-15,,-0.0015406278605723924,0.019661317244808702
